ability	subjectN	subjectOG	trial	stim	order	condition	resp_1	resp_2	response	error	resp_num	RT	init_time	distractor	rt	initTime	DV_inmot	DV_velmax	DV_velmax_start	DV_dist	DV_ADavg	DV_AUC	DV_xflp_tot	DV_ang_tot
1	2	10	1	The children like sliding down the slide.wav	2	practice	~The children like sliding down the slide right.jpg	~The children like sliding down the slide wrong.jpg	~The children like sliding down the slide right.jpg	0	1	2360	423	2	2360.000000	908.000000	1452.000000	4457.433973	2204.000000	853.453052	219.397351	0.515720	0.000000	15.000000
1	2	10	2	The classmates are holding hands.wav	3	practice	~The classmates are holding hands wrong.jpg	~The classmates are holding hands right.jpg	~The classmates are holding hands right.jpg	0	2	1587	1415	1	1587.000000	1415.000000	172.000000	7503.273087	1477.000000	958.659060	281.798713	0.392207	0.000000	3.000000
1	2	10	3	The housewife is washing the car.wav	4	practice	~The housewife is washing the car wrong.jpg	~The housewife is washing the car right.jpg	~The housewife is washing the car wrong.jpg	1	1	1431	853	1	1431.000000	1056.000000	375.000000	4662.656813	1197.000000	805.193228	166.791209	0.524002	0.000000	7.000000
1	2	10	4	The person shivering caught a cold.wav	5	practice	~The person shivering caught a cold right.jpg	~The person shivering caught a cold wrong.jpg	~The person shivering caught a cold right.jpg	0	1	2055	56	2	2055.000000	56.000000	1999.000000	5992.555198	1977.000000	770.663929	143.878743	0.603266	0.000000	6.000000
1	2	10	5	The policeman caught a theif.wav	6	practice	~The policeman caught a theif right.jpg	~The policeman caught a theif wrong.jpg	~The policeman caught a theif right.jpg	0	1	1290	306	2	1290.000000	337.000000	953.000000	5179.383636	1165.000000	867.899753	193.451220	0.686356	1.000000	1.000000
1	2	10	6	The secretary answered the call.wav	7	practice	~The secretary answered the call right.jpg	~The secretary answered the call wrong.jpg	~The secretary answered the call right.jpg	0	1	1977	196	2	1977.000000	196.000000	1781.000000	3430.131900	1055.000000	923.364555	80.436698	0.687126	3.000000	6.000000
1	2	10	7	The worker has a white mustache.wav	8	practice	~The worker has a white mustache wrong.jpg	~The worker has a white mustache right.jpg	~The worker has a white mustache right.jpg	0	2	2383	134	1	2383.000000	149.000000	2234.000000	6139.213209	2305.000000	792.340445	164.845155	0.635405	1.000000	3.000000
1	2	10	8	The postman is holding a letter.wav	9	practice	~The postman is holding a letter right.jpg	~The postman is holding a letter wrong.jpg	~The postman is holding a letter right.jpg	0	1	1055	962	2	1055.000000	962.000000	93.000000	9477.707095	977.000000	781.274309	175.492537	0.634537	0.000000	0.000000
1	2	10	9	The pig was followed by the hen.wav	11	passive	~The pig was followed by the hen wrong.jpg	~The pig was followed by the hen right.jpg	~The pig was followed by the hen right.jpg	0	2	2384	166	1	2384.000000	166.000000	2218.000000	3545.476723	2166.000000	861.285347	200.774510	0.643128	1.000000	3.000000
1	2	10	10	The athlete jumping rope is sweating.wav	12	RC	~The athlete jumping rope is sweating right.jpg	~The athlete jumping rope is sweating wrong.jpg	~The athlete jumping rope is sweating right.jpg	0	1	1383	290	2	1383.000000	306.000000	1077.000000	2999.320566	1102.000000	1040.821898	223.738636	0.769295	1.000000	22.000000
1	2	10	11	The lamp is next to the dresser.wav	13	preposition	~The lamp is next to the dresser wrong.jpg	~The lamp is next to the dresser right.jpg	~The lamp is next to the dresser right.jpg	0	2	1539	118	1	1539.000000	149.000000	1390.000000	5392.516623	1461.000000	825.732355	169.918367	0.844024	3.000000	9.000000
1	2	10	12	The guy fixing the fence is using tools.wav	14	RC	~The guy fixing the fence is using tools right.jpg	~The guy fixing the fence is using tools wrong.jpg	~The guy fixing the fence is using tools right.jpg	0	1	1791	57	2	1791.000000	73.000000	1718.000000	4524.123800	1698.000000	1000.059032	221.359649	0.880407	2.000000	22.000000
1	2	10	13	The desk is against the window.wav	15	preposition	~The desk is against the window wrong.jpg	~The desk is against the window right.jpg	~The desk is against the window right.jpg	0	2	1977	40	1	1961.000000	71.000000	1890.000000	4357.271771	1883.000000	847.242961	177.548000	0.894756	2.000000	10.000000
1	2	10	14	The hero is killed by the robber.wav	16	passive	~The hero is killed by the robber wrong.jpg	~The hero is killed by the robber right.jpg	~The hero is killed by the robber right.jpg	0	2	2165	56	1	2165.000000	72.000000	2093.000000	5029.905367	2087.000000	962.087709	220.920290	0.783713	2.000000	22.000000
1	2	10	15	The cloud hides the sun.wav	17	declarative	~The sun is hidden by the cloud right.jpg	~The sun is hidden by the cloud wrong.jpg	~The sun is hidden by the cloud right.jpg	0	1	2229	88	2	2229.000000	135.000000	2094.000000	7107.797955	2151.000000	897.026497	211.556338	0.836098	3.000000	15.000000
1	2	10	16	The princess slaps the prince.wav	18	declarative	~The prince is slapped by the princess wrong.jpg	~The prince is slapped by the princess right.jpg	~The prince is slapped by the princess right.jpg	0	2	1494	72	1	1494.000000	88.000000	1406.000000	6565.507095	1416.000000	926.423998	201.910526	0.718386	4.000000	4.000000
1	2	10	17	The boss left two keys for the janitor.wav	19	dative	~The boss left two keys for the janitor right.jpg	~The boss left two keys for the janitor wrong.jpg	~The boss left two keys for the janitor right.jpg	0	1	2774	72	2	2774.000000	103.000000	2671.000000	2849.162612	2477.000000	1003.380157	249.733404	0.758047	1.000000	28.000000
1	2	10	18	The maid sweeping the floor has an apron.wav	20	RC	~The maid sweeping the floor has an apron wrong.jpg	~The maid sweeping the floor has an apron right.jpg	~The maid sweeping the floor has an apron right.jpg	0	2	1742	71	1	1742.000000	102.000000	1640.000000	5530.852607	1664.000000	882.209176	190.252252	0.750110	1.000000	21.000000
1	2	10	19	The niece sent a letter to her uncle.wav	21	dative	~The niece sent a letter to her uncle wrong.jpg	~The niece sent a letter to her uncle right.jpg	~The niece sent a letter to her uncle right.jpg	0	2	2025	197	1	2025.000000	229.000000	1796.000000	5650.149435	1947.000000	956.943403	160.112403	0.738756	2.000000	2.000000
1	2	10	20	The ball is in front of the box.wav	22	preposition	~The ball is in front of the box right.jpg	~The ball is in front of the box wrong.jpg	~The ball is in front of the box right.jpg	0	1	1711	40	2	1711.000000	56.000000	1655.000000	4814.411425	1633.000000	967.227692	208.701835	0.815995	2.000000	4.000000
1	2	10	21	The hamster is outside the cage.wav	23	preposition	~The hamster is outside the cage wrong.jpg	~The hamster is outside the cage right.jpg	~The hamster is outside the cage right.jpg	0	2	1462	103	1	1462.000000	150.000000	1312.000000	8527.259287	1384.000000	967.328656	214.543011	0.768218	3.000000	5.000000
1	2	10	22	The farmer returned cups to his neighbor.wav	24	dative	~The farmer returned cups to his neighbor wrong.jpg	~The farmer returned cups to his neighbor right.jpg	~The farmer returned cups to his neighbor right.jpg	0	2	2852	41	1	2852.000000	72.000000	2780.000000	4936.019800	2774.000000	878.052464	171.197802	0.803425	2.000000	24.000000
1	2	10	23	The student drawing maps has glasses.wav	25	RC	~The student drawing maps has glasses wrong.jpg	~The student drawing maps has glasses right.jpg	~The student drawing maps has glasses right.jpg	0	2	1727	87	1	1727.000000	118.000000	1609.000000	4734.303492	1649.000000	915.312736	195.854545	0.742117	2.000000	8.000000
1	2	10	24	The nurse drying her hair is singing.wav	26	RC	~The nurse drying her hair is singing right.jpg	~The nurse drying her hair is singing wrong.jpg	~The nurse drying her hair is singing right.jpg	0	1	2010	41	2	2010.000000	88.000000	1922.000000	4486.106079	1931.000000	990.414574	190.812500	0.825246	3.000000	17.000000
1	2	10	25	The driver explained the route to the girl.wav	27	dative	~The driver explained the route to the girl wrong.jpg	~The driver explained the route to the girl right.jpg	~The driver explained the route to the girl right.jpg	0	2	2086	102	1	2086.000000	211.000000	1875.000000	4019.950553	2008.000000	872.071199	160.417293	0.793963	2.000000	30.000000
1	2	10	26	The elephant was washed by the worker.wav	28	passive	~The elephant was washed by the worker wrong.jpg	~The elephant was washed by the worker right.jpg	~The elephant was washed by the worker right.jpg	0	2	1838	57	1	1838.000000	104.000000	1734.000000	5902.404694	1760.000000	909.439435	199.760684	0.912006	3.000000	11.000000
1	2	10	27	The father lent money to his daughter.wav	29	dative	~The father lent money to his daughter right.jpg	~The father lent money to his daughter wrong.jpg	~The father lent money to his daughter wrong.jpg	1	2	3102	56	2	3086.000000	149.000000	2937.000000	3790.146747	3008.000000	1042.118217	155.703046	0.862445	3.000000	19.000000
1	2	10	28	The kid tickles the mom.wav	30	declarative	~The mom was tickled by her kid right.jpg	~The mom was tickled by her kid wrong.jpg	~The mom was tickled by her kid right.jpg	0	1	1400	119	2	1400.000000	135.000000	1265.000000	5733.737806	1322.000000	949.627163	214.904494	0.731647	1.000000	3.000000
1	2	10	29	The basket is on the blanket.wav	31	preposition	~The basket is on the blanket right.jpg	~The basket is on the blanket wrong.jpg	~The basket is on the blanket right.jpg	0	1	1556	134	2	1556.000000	181.000000	1375.000000	5045.858512	1447.000000	850.510052	155.136364	0.690193	2.000000	18.000000
1	2	10	30	The chair is below the window.wav	32	preposition	~The chair is below the window wrong.jpg	~The chair is below the window right.jpg	~The chair is below the window right.jpg	0	2	1619	57	1	1619.000000	166.000000	1453.000000	5768.919810	1541.000000	886.435374	183.296117	0.869167	3.000000	21.000000
1	2	10	31	The cafe is at the corner.wav	33	preposition	~The cafe is at the corner wrong.jpg	~The cafe is at the corner right.jpg	~The cafe is at the corner right.jpg	0	2	1742	86	1	1742.000000	102.000000	1640.000000	5445.950359	1664.000000	863.996860	166.725225	0.855004	2.000000	20.000000
1	2	10	32	The grandmother finds the grandson.wav	34	declarative	~The grandson is found by his grandmother wrong.jpg	~The grandson is found by his grandmother right.jpg	~The grandson is found by his grandmother right.jpg	0	2	2492	55	1	2492.000000	211.000000	2281.000000	2706.541929	2414.000000	1096.271477	211.556604	0.821649	5.000000	29.000000
1	2	10	33	The student watering flowers loves plants.wav	35	RC	~The student watering flowers loves plants wrong.jpg	~The student watering flowers loves plants right.jpg	~The student watering flowers loves plants right.jpg	0	2	1806	41	1	1806.000000	88.000000	1718.000000	3774.673446	1728.000000	932.203481	181.265217	0.925913	1.000000	3.000000
1	2	10	34	The gentleman bought flowers for his love.wav	36	dative	~The gentleman bought flowers for his love right.jpg	~The gentleman bought flowers for his love wrong.jpg	~The gentleman bought flowers for his love right.jpg	0	1	1618	87	2	1602.000000	165.000000	1437.000000	2609.450354	1477.000000	1012.009830	157.637255	0.750648	2.000000	18.000000
1	2	10	35	The teacher writing words likes spelling.wav	37	RC	~The teacher writing words likes spelling wrong.jpg	~The teacher writing words likes spelling right.jpg	~The teacher writing words likes spelling wrong.jpg	1	1	1602	102	1	1602.000000	149.000000	1453.000000	3998.936939	1508.000000	978.261312	195.352941	0.848764	1.000000	17.000000
1	2	10	36	The dog was bitten by the snake.wav	38	passive	~The dog was bitten by the snake right.jpg	~The dog was bitten by the snake wrong.jpg	~The dog was bitten by the snake right.jpg	0	1	2727	87	2	2727.000000	181.000000	2546.000000	5028.400010	2649.000000	827.218408	161.827586	0.760874	2.000000	52.000000
1	2	10	37	The monkey is under the box.wav	39	preposition	~The monkey is under the box wrong.jpg	~The monkey is under the box right.jpg	~The monkey is under the box right.jpg	0	2	1821	56	1	1805.000000	102.000000	1703.000000	5930.884005	1727.000000	956.130872	225.404348	0.848605	3.000000	17.000000
1	2	10	38	The aunt is assisted by her niece.wav	40	passive	~The aunt is assisted by her niece wrong.jpg	~The aunt is assisted by her niece right.jpg	~The aunt is assisted by her niece right.jpg	0	2	2024	134	1	2024.000000	134.000000	1890.000000	5320.565680	1946.000000	958.146855	194.620155	0.843838	2.000000	16.000000
1	2	10	39	The puppy was licked by the kitten.wav	41	passive	~The puppy was licked by the kitten right.jpg	~The puppy was licked by the kitten wrong.jpg	~The puppy was licked by the kitten right.jpg	0	1	1695	477	2	1695.000000	540.000000	1155.000000	3811.308277	1617.000000	932.612834	226.361111	0.726051	2.000000	12.000000
1	2	10	40	The panda is colored by the monkey.wav	42	passive	~The panda is colored by the monkey wrong.jpg	~The panda is colored by the monkey right.jpg	~The panda is colored by the monkey right.jpg	0	2	2071	102	1	2071.000000	134.000000	1937.000000	6535.494885	1993.000000	999.798688	218.613636	0.938640	3.000000	23.000000
1	2	10	41	The arrow is between the squares.wav	43	preposition	~The arrow is between the squares right.jpg	~The arrow is between the squares wrong.jpg	~The arrow is between the squares right.jpg	0	1	1432	89	2	1432.000000	104.000000	1328.000000	5657.079917	1354.000000	936.631114	223.608696	0.803348	3.000000	15.000000
1	2	10	42	The bus hits the motorcycle.wav	44	declarative	~The motercycle is hit by the bus wrong.jpg	~The motercycle is hit by the bus right.jpg	~The motercycle is hit by the bus right.jpg	0	2	1837	40	1	1837.000000	197.000000	1640.000000	3378.048937	1759.000000	948.987401	150.252137	0.809313	3.000000	15.000000
1	2	10	43	The boy is pushed by his sister.wav	45	passive	~The boy is pushed by his sister right.jpg	~The boy is pushed by his sister wrong.jpg	~The boy is pushed by his sister right.jpg	0	1	1602	40	2	1602.000000	196.000000	1406.000000	4650.855253	1524.000000	855.942700	172.764706	0.766966	2.000000	12.000000
1	2	10	44	The bird watches the alligator.wav	46	declarative	~The alligator is watched by the bird right.jpg	~The alligator is watched by the bird wrong.jpg	~The alligator is watched by the bird right.jpg	0	1	2025	72	2	2025.000000	119.000000	1906.000000	4223.468853	1946.000000	857.502361	170.577519	0.746077	0.000000	52.000000
1	2	10	45	The chicken was scared by the crow.wav	47	passive	~The chicken was scared by the crow wrong.jpg	~The chicken was scared by the crow right.jpg	~The chicken was scared by the crow right.jpg	0	2	1946	118	1	1946.000000	149.000000	1797.000000	7031.546881	1852.000000	944.469873	248.790323	0.811546	1.000000	31.000000
1	2	10	46	The coach threw the bottle to the boy.wav	48	dative	~The coach threw the bottle to the boy wrong.jpg	~The coach threw the bottle to the boy right.jpg	~The coach threw the bottle to the boy right.jpg	0	2	2601	196	1	2601.000000	180.000000	2421.000000	4490.135119	2523.000000	970.016861	187.439759	0.932300	2.000000	22.000000
1	2	10	47	The car is inside the garage.wav	49	preposition	~The car is inside the garage right.jpg	~The car is inside the garage wrong.jpg	~The car is inside the garage right.jpg	0	1	1305	383	2	1305.000000	383.000000	922.000000	4741.242923	1227.000000	875.058255	177.186747	0.815636	2.000000	14.000000
1	2	10	48	The waiter carrying trays likes food.wav	50	RC	~The waiter carrying trays likes food right.jpg	~The waiter carrying trays likes food wrong.jpg	~The waiter carrying trays likes food right.jpg	0	1	1462	119	2	1462.000000	119.000000	1343.000000	5973.786402	1384.000000	1011.490030	192.301075	0.877641	4.000000	16.000000
1	2	10	49	The lady stiring juice feels thirsty.wav	51	RC	~The lady stiring juice feels thirsty right.jpg	~The lady stiring juice feels thirsty wrong.jpg	~The lady stiring juice feels thirsty right.jpg	0	1	1681	40	2	1681.000000	87.000000	1594.000000	4367.699429	1603.000000	933.879876	158.261682	0.796892	2.000000	18.000000
1	2	10	50	The cat attacks the fireman.wav	52	declarative	~The fireman is attacked by the cat right.jpg	~The fireman is attacked by the cat wrong.jpg	~The fireman is attacked by the cat right.jpg	0	1	2117	102	2	2117.000000	133.000000	1984.000000	5118.354176	2039.000000	1197.431530	199.411111	1.094899	3.000000	11.000000
1	2	10	51	The clock is by the entrance door.wav	53	preposition	~The clock is by the entrance door right.jpg	~The clock is by the entrance door wrong.jpg	~The clock is by the entrance door right.jpg	0	1	1367	71	2	1367.000000	87.000000	1280.000000	5406.957418	1289.000000	896.483456	187.632184	0.823609	1.000000	15.000000
1	2	10	52	The child delivered mail to the woman.wav	54	dative	~The child delivered mail to the woman right.jpg	~The child delivered mail to the woman wrong.jpg	~The child delivered mail to the woman right.jpg	0	1	2461	212	2	2461.000000	227.000000	2234.000000	4362.650452	2383.000000	938.221611	162.649682	0.814935	2.000000	38.000000
1	2	10	53	The bird is above the big tree.wav	55	preposition	~The bird is above the big tree right.jpg	~The bird is above the big tree wrong.jpg	~The bird is above the big tree right.jpg	0	1	1462	103	2	1462.000000	119.000000	1343.000000	5174.484887	1384.000000	944.807381	200.655914	0.757605	1.000000	17.000000
1	2	10	54	The maid folding clothes is wearing braclets.wav	56	RC	~The maid folding clothes is wearing braclets right.jpg	~The maid folding clothes is wearing braclets wrong.jpg	~The maid folding clothes is wearing braclets right.jpg	0	1	1291	72	2	1291.000000	88.000000	1203.000000	6190.663119	1213.000000	920.288229	178.500000	0.723231	2.000000	22.000000
1	2	10	55	The woman poured juice for the guest.wav	57	dative	~The woman poured juice for the guest right.jpg	~The woman poured juice for the guest wrong.jpg	~The woman poured juice for the guest right.jpg	0	1	1711	71	2	1711.000000	87.000000	1624.000000	4514.083149	1633.000000	869.747955	166.899083	0.691639	0.000000	16.000000
1	2	10	56	The fish eats the fisherman.wav	58	declarative	~The fisherman is eaten by the fish wrong.jpg	~The fisherman is eaten by the fish right.jpg	~The fisherman is eaten by the fish right.jpg	0	2	1494	41	1	1494.000000	56.000000	1438.000000	6627.495882	1415.000000	985.511422	235.236842	0.976330	1.000000	39.000000
1	2	10	57	The cabinet is near the chalkboard.wav	59	preposition	~The cabinet is near the chalkboard right.jpg	~The cabinet is near the chalkboard wrong.jpg	~The cabinet is near the chalkboard right.jpg	0	1	1899	87	2	1899.000000	103.000000	1796.000000	4808.377732	1821.000000	984.360783	181.276860	0.845979	3.000000	15.000000
