subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
188	12	The chicken was scared by the crow.wav	2	passive	2	1	31.000000	2263.000000	2232.000000	2.530130	302.737222	1.000000	17.000000	0.000059	0.311637	32.699254	0.000000	15.000000	0.000000	14.000000
188	78	The bus hits the motorcycle.wav	1	declarative	2	1	143.000000	2894.000000	2751.000000	1.907926	246.577669	91.000000	7.000000	0.042613	0.367918	81.454332	0.482759	4.000000	1.000000	3.000000
188	79	The hero is killed by the robber.wav	2	passive	2	1	133.000000	3443.000000	3310.000000	1.692607	256.173204	96.000000	0.000000	0.096695	0.337449	52.990399	0.411741	5.000000	1.000000	4.000000
188	49	The tiger lifts the bear.wav	1	declarative	1	2	641.000000	2393.000000	1752.000000	1.799433	223.454751	96.000000	9.000000	0.236078	0.582214	-89.556715	0.682159	5.000000	1.000000	3.000000
188	29	The nurse hugs the surgeon.wav	1	declarative	2	1	264.000000	5453.000000	5189.000000	1.583185	141.148274	92.000000	33.000000	0.211980	0.333804	35.680479	0.297804	23.000000	5.000000	17.000000
188	77	The fish eats the fisherman.wav	1	declarative	2	1	414.000000	2750.000000	2336.000000	1.513458	200.506359	91.000000	13.000000	0.265155	0.330098	50.345657	0.244718	15.000000	13.000000	1.000000
188	40	The elephant was washed by the worker.wav	2	passive	2	1	2889.000000	2982.000000	93.000000	1.332692	266.538342	96.000000	-1.000000	0.316242	0.444197	36.171802	0.000000	2.000000	1.000000	0.000000
188	64	The panda is colored by the monkey.wav	2	passive	2	1	169.000000	2814.000000	2645.000000	1.336319	179.291904	96.000000	5.000000	0.144110	0.506392	32.203925	0.439860	10.000000	1.000000	8.000000
188	60	The princess slaps the prince.wav	1	declarative	2	1	1169.000000	2109.000000	940.000000	1.662270	265.009246	94.000000	10.000000	0.442840	0.481994	34.206445	0.178067	7.000000	6.000000	1.000000
188	33	The skier was crushed by the snowboard.wav	2	passive	1	2	589.000000	3305.000000	2716.000000	1.519457	292.884492	96.000000	5.000000	0.328846	0.532358	-21.415598	0.055034	1.000000	1.000000	0.000000
