subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
2314	20	The grandmother finds the grandson.wav	1	declarative	2	1	141.000000	2453.000000	2312.000000	1.654048	51.269935	10.000000	28.000000	0.154248	0.748651	-4.944818	0.067898	18.000000	2.000000	14.000000
2314	22	The cloud hides the sun.wav	1	declarative	1	2	125.000000	1531.000000	1406.000000	1.580022	56.568405	87.000000	35.000000	0.235144	0.675835	0.107598	1.115511	11.000000	6.000000	5.000000
2314	25	The bird watches the alligator.wav	1	declarative	1	2	140.000000	3297.000000	3157.000000	1.624530	50.583341	93.000000	19.000000	0.220125	0.730979	-1.245364	1.281080	14.000000	4.000000	10.000000
2314	28	The bus hits the motorcycle.wav	1	declarative	2	1	234.000000	1937.000000	1703.000000	1.562140	48.140027	66.000000	37.000000	0.177304	0.624823	-0.625119	0.571489	14.000000	8.000000	6.000000
2314	29	The seagull chases the tourist.wav	1	declarative	2	1	219.000000	2359.000000	2140.000000	2.086800	127.503894	94.000000	14.000000	0.462827	0.973247	-4.193756	1.326562	11.000000	2.000000	8.000000
2314	45	The kid tickles the mom.wav	1	declarative	1	2	32.000000	2360.000000	2328.000000	2.163170	139.052844	92.000000	17.000000	0.392699	0.924794	-4.658424	1.176076	7.000000	2.000000	5.000000
2314	49	The daughter kisses the king.wav	1	declarative	1	2	78.000000	2766.000000	2688.000000	1.712079	53.197435	96.000000	21.000000	0.146061	0.636728	1.723279	1.446092	13.000000	1.000000	12.000000
2314	54	The fish eats the fisherman.wav	1	declarative	2	1	31.000000	2406.000000	2375.000000	1.950046	125.885859	96.000000	33.000000	0.491548	0.858796	-13.807949	1.320617	19.000000	5.000000	13.000000
2314	60	The tiger lifts the bear.wav	1	declarative	1	2	110.000000	3969.000000	3859.000000	3.353309	209.212030	96.000000	24.000000	0.685110	1.015594	-23.876032	2.307249	18.000000	4.000000	14.000000
2314	64	The princess slaps the prince.wav	1	declarative	2	1	125.000000	3062.000000	2937.000000	1.670705	55.745839	77.000000	19.000000	0.249805	0.666310	-6.989705	0.861288	9.000000	1.000000	7.000000
2314	66	The nurse hugs the surgeon.wav	1	declarative	2	1	344.000000	3766.000000	3422.000000	1.634191	110.053499	94.000000	18.000000	0.071640	0.468803	6.214891	0.944810	4.000000	1.000000	3.000000
2314	71	The baby touches the hamster.wav	1	declarative	1	2	31.000000	2125.000000	2094.000000	1.679644	49.932985	82.000000	29.000000	0.161821	0.702390	-1.954475	0.985651	9.000000	1.000000	8.000000
2314	74	The cat attacks the fireman.wav	1	declarative	1	2	47.000000	2563.000000	2516.000000	1.740548	115.244501	84.000000	13.000000	0.151639	0.710451	-18.640692	0.582948	6.000000	2.000000	4.000000
2314	83	The robber shoots the policeman.wav	1	declarative	2	1	32.000000	3703.000000	3671.000000	1.957571	105.909278	2.000000	7.000000	0.430760	0.792033	-19.769065	0.014994	11.000000	0.000000	11.000000
377	12	The princess slaps the prince.wav	1	declarative	2	1	47.000000	1906.000000	1859.000000	1.778635	138.802560	87.000000	10.000000	0.287405	0.850441	-2.577667	0.921951	16.000000	4.000000	12.000000
